SchemaName,TableName,VietnameseBusinessName,BusinessDescription,SuggestedGroupID,SuggestedGroupTitle,EstimatedRowCount,IsActiveTable,IsLegacyTable,HasPrimaryKey,HasForeignKey,HasSoftDelete,SourceOfTruth,Notes
dbo,Accounts,Tài khoản,"Tài khoản người dùng cho mọi vai trò: khách hàng, nhân viên, bảo vệ, quản lý, admin. Chứa cả hồ sơ, điểm uy tín, điểm ELO và dữ liệu khuôn mặt.",G01,Tài khoản & Phân quyền,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,Thùng rác quản trị,"Bản ghi các thực thể đã xóa mềm, cho phép admin khôi phục hoặc xóa vĩnh viễn.",G02,Nhật ký hệ thống & Thùng rác,N/A (không kết nối được DB),YES,NO,YES,NO,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,Nhật ký kiểm toán,Ghi lại mọi thao tác thêm/sửa/xóa quan trọng trên hệ thống kèm người thực hiện và cơ sở.,G02,Nhật ký hệ thống & Thùng rác,N/A (không kết nối được DB),YES,NO,YES,NO,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,BangLuong,Bảng lương,Kết quả tính lương của một nhân viên trong một kỳ lương.,G23,"Lương, Phụ cấp & Ứng lương",N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,BookingExtension,Gia hạn đặt sân,Yêu cầu gia hạn thời gian chơi của một lượt đặt sân.,G06,Đặt sân & Giữ chỗ,N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,CaLamViec,Ca làm việc,"Ca làm của nhân viên/bảo vệ tại cơ sở, kèm điểm danh bằng khuôn mặt.",G17,Ca làm việc,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec_Audit,Nhật ký ca làm việc,Nhật ký thay đổi trên ca làm việc kèm người thực hiện.,G17,Ca làm việc,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec_Availability,Thời gian rảnh nhân viên,Khai báo thời gian nhân viên sẵn sàng nhận ca.,G17,Ca làm việc,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CaLamViec_SwapRequest,Yêu cầu đổi ca,"Yêu cầu hoán đổi ca giữa hai nhân viên, có người duyệt.",G17,Ca làm việc,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CauHinhLuong,Cấu hình lương,"Lương cơ bản, phụ cấp mỗi ca và hạn mức ứng của từng nhân viên tại một cơ sở.",G23,"Lương, Phụ cấp & Ứng lương",N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,ChiaHoaDon,Chia hóa đơn (cũ),"Cơ chế chia hóa đơn đời cũ theo tên người, đã bị NhomChiaTien thay thế.",G22,Chia hóa đơn,N/A (không kết nối được DB),NO,YES,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,ChiTietGhepKeo,Người tham gia kèo,Danh sách người tham gia/đăng ký vào một kèo.,G13,Ghép kèo,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,ChiTietHoaDon,Chi tiết hóa đơn,Từng dòng sản phẩm/dịch vụ trong hóa đơn.,G08,Hóa đơn & Thanh toán,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CoSo,Cơ sở thể thao,"Cơ sở/chi nhánh sân thể thao: địa chỉ, tọa độ, giờ mở cửa, quản lý phụ trách.",G04,Cơ sở thể thao,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CoSoCapability,Năng lực cơ sở,"Các dịch vụ/năng lực mà cơ sở đăng ký cung cấp, kèm trạng thái duyệt.",G04,Cơ sở thể thao,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CoSoFaceConfig,Cấu hình khuôn mặt cơ sở,Bật/tắt bắt buộc điểm danh khuôn mặt và ngưỡng tin cậy cho từng cơ sở (1-1 với cơ sở).,G24,Điểm danh khuôn mặt,N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,CoSoNganHang,Tài khoản ngân hàng cơ sở,Thông tin ngân hàng nhận chuyển khoản của từng cơ sở.,G04,Cơ sở thể thao,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CourtChargeSegment,Đoạn tính tiền sân,Chia lượt chơi thành các đoạn giá (có đèn / không đèn) để tính tiền khi kết thúc phiên.,G07,Check-in & Phiên sử dụng sân,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,CustomerReputationHistory,Lịch sử điểm uy tín,"Biến động điểm uy tín khách hàng (hủy muộn, không đến, hoàn thành).",G20,"Đánh giá, ELO & Uy tín",N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,DanhGia,Đánh giá,"Đánh giá sao và nhận xét sau lượt đặt sân, giữa người chơi với nhau.",G20,"Đánh giá, ELO & Uy tín",N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,DanhMucSanPham,Danh mục sản phẩm,Nhóm phân loại sản phẩm/dịch vụ bán lẻ.,G10,Sản phẩm & Kho,N/A (không kết nối được DB),YES,NO,YES,NO,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,FaceChallengeToken,Token thử thách khuôn mặt,Token một lần chứa chuỗi thử thách liveness cho một lần điểm danh.,G24,Điểm danh khuôn mặt,N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,GhepKeo,Ghép kèo,Bài đăng tìm người chơi cùng gắn với một lượt đặt sân.,G13,Ghép kèo,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,HoaDon,Hóa đơn,Hóa đơn thanh toán cho lượt đặt sân hoặc dịch vụ; hỗ trợ hóa đơn con qua ParentHoaDonID.,G08,Hóa đơn & Thanh toán,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,HoanTien,Hoàn tiền,Yêu cầu và tiến trình hoàn tiền cho khách sau khi hủy đặt sân hoặc hóa đơn.,G09,Hoàn tiền,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,KhuyenMai,Khuyến mãi,Mã giảm giá/chương trình khuyến mãi theo cơ sở.,G12,Khuyến mãi,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,KhuyenMaiHinhAnh,Hình ảnh khuyến mãi,Ảnh minh họa và ảnh bìa của chương trình khuyến mãi.,G12,Khuyến mãi,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,KyLuong,Kỳ lương,Kỳ tính lương theo cơ sở với ngày bắt đầu/kết thúc và ngày phát lương.,G23,"Lương, Phụ cấp & Ứng lương",N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,LichDatSan,Lịch đặt sân,"Bản ghi đặt sân trung tâm: khách, sân, ngày giờ, trạng thái, thanh toán, check-in.",G06,Đặt sân & Giữ chỗ,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,LichDatSan_DichVu,Dịch vụ đặt trước,Sản phẩm/dịch vụ khách đặt kèm trước cho một lượt đặt sân.,G06,Đặt sân & Giữ chỗ,N/A (không kết nối được DB),YES,NO,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,LichSuELO,Lịch sử điểm ELO,Biến động điểm trình độ ELO của tài khoản theo từng trận.,G20,"Đánh giá, ELO & Uy tín",N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,LichSuKhuyenMai,Lịch sử dùng khuyến mãi,Ghi nhận mỗi lần một tài khoản sử dụng mã khuyến mãi.,G12,Khuyến mãi,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,LichXeRaVao,Lịch xe ra vào,Nhật ký xe vào/ra bãi gắn với thẻ giữ xe và lượt đặt sân.,G21,Giữ xe,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,LoaiSan,Loại sân,"Loại sân theo môn thể thao, khung giờ và bảng giá (có/không đèn).",G05,Sân & Loại sân,N/A (không kết nối được DB),YES,NO,YES,YES,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,LoaiSan_KhungGioDen_Backup,Sao lưu khung giờ đèn,Bảng sao lưu dữ liệu khung giờ bật đèn của loại sân trước khi migration.,G05,Sân & Loại sân,N/A (không kết nối được DB),NO,YES,NO,NO,YES,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,MaQR,Mã QR chia tiền (cũ),Mã QR thanh toán gắn với bản ghi chia hóa đơn đời cũ.,G22,Chia hóa đơn,N/A (không kết nối được DB),NO,YES,YES,YES,NO,MIGRATION_SQL,Chưa tồn tại trong snapshot DB 2026-08-02 — chỉ có trong migration/source
dbo,MonTheThao,Môn thể thao,"Danh mục môn thể thao (bóng đá, cầu lông, tennis, pickleball...).",G03,Môn thể thao,N/A (không kết nối được DB),YES,NO,YES,NO,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,MonTheThaoYeuThich,Môn thể thao yêu thích,Bảng trung gian N-N giữa tài khoản và môn thể thao yêu thích.,G01,Tài khoản & Phân quyền,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,NhatKyChat,Nhật ký chat,Lịch sử hội thoại chatbot/trợ lý của tài khoản.,G15,Thông báo & Chat,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,NhatKySOSGui,Nhật ký gửi SOS,Ghi nhận từng lượt gửi thông báo SOS tới người nhận.,G16,SOS,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,NhomChiaTien,Nhóm chia hóa đơn,Nhóm chia tiền cho một hóa đơn theo nhiều hình thức chia.,G22,Chia hóa đơn,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,NhomChiaTienChiTiet,Phần chia của từng người,Phần tiền và trạng thái thanh toán của từng người trong nhóm chia.,G22,Chia hóa đơn,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,PayOSPaymentAttempt,Lượt thanh toán PayOS,"Mỗi lần tạo link thanh toán PayOS cho hóa đơn/đặt sân, kèm mã đơn và trạng thái.",G08,Hóa đơn & Thanh toán,N/A (không kết nối được DB),YES,NO,YES,YES,NO,LIVE_DB_SNAPSHOT_2026-08-02,
