SchemaName,TableName,OrdinalPosition,ColumnName,VietnameseColumnName,DataType,FullDataType,MaxLength,Precision,Scale,IsNullable,DefaultValue,IsIdentity,IdentitySeed,IdentityIncrement,IsComputed,ComputedDefinition,IsPrimaryKey,PrimaryKeyOrder,IsForeignKey,ForeignKeyName,ReferencedSchema,ReferencedTable,ReferencedColumn,IsUnique,CheckConstraint,BusinessDescription,SourceOfTruth,Notes
dbo,Accounts,1,AccountID,Mã tài khoản,INT,INT,,10,0,NO,,YES,1,1,NO,,YES,1,NO,,,,,YES,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,2,Username,Tên đăng nhập,VARCHAR,VARCHAR(50),50,,,YES,,NO,,,NO,,NO,,NO,,,,,YES,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,3,Password,Mật khẩu (đã băm),VARCHAR,VARCHAR(MAX),MAX,,,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,4,FailedLoginCount,Số lần đăng nhập sai,INT,INT,,10,0,YES,((0)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,5,IsLocked,Đã khóa,BIT,BIT,,,,YES,((0)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,6,LastLogin,Lần đăng nhập cuối,DATETIME,DATETIME,,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,7,GoogleID,ID Google,VARCHAR,VARCHAR(100),100,,,YES,,NO,,,NO,,NO,,NO,,,,,YES,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,8,FacebookID,ID Facebook,VARCHAR,VARCHAR(100),100,,,YES,,NO,,,NO,,NO,,NO,,,,,YES,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,9,FullName,Họ và tên,NVARCHAR,NVARCHAR(100),100,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,10,PhoneNumber,Số điện thoại,VARCHAR,VARCHAR(15),15,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,11,Email,Email,VARCHAR,VARCHAR(100),100,,,YES,,NO,,,NO,,NO,,NO,,,,,YES,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,12,RoleID,Mã vai trò,INT,INT,,10,0,YES,,NO,,,NO,,NO,,YES,FK_Acc_Role,dbo,Roles,RoleID,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,13,ZaloID,ID Zalo,VARCHAR,VARCHAR(100),100,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,14,MessengerID,ID Messenger,VARCHAR,VARCHAR(100),100,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,15,DiemUyTin,Điểm uy tín,INT,INT,,10,0,YES,((100)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,16,DiemTrinhDo,Điểm trình độ (ELO),INT,INT,,10,0,YES,((1000)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,17,MaNganHang,Mã ngân hàng,VARCHAR,VARCHAR(20),20,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,18,SoTaiKhoan,Số tài khoản ngân hàng,VARCHAR,VARCHAR(50),50,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,19,ViTriSoTruong,ViTriSoTruong,NVARCHAR,NVARCHAR(50),50,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,20,NhanThongBaoSOS,NhanThongBaoSOS,BIT,BIT,,,,YES,((1)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,21,NgaySinh,Ngày sinh,DATE,DATE,,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,22,GioiTinh,Giới tính,NVARCHAR,NVARCHAR(10),10,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,23,CreatedAt,Thời điểm tạo,DATETIME,DATETIME,,,,YES,(getdate()),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,24,IsDeleted,Đã xóa mềm,BIT,BIT,,,,YES,((0)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,25,CoSoID,Mã cơ sở,INT,INT,,10,0,YES,,NO,,,NO,,NO,,YES,FK_Acc_CoSo,dbo,CoSo,CoSoID,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,26,DeletedAt,Thời điểm xóa,DATETIME,DATETIME,,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,27,DeletedBy,Người xóa,INT,INT,,10,0,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
