SchemaName,TableName,ConstraintName,ColumnName,KeyOrder,IsClustered
dbo,Accounts,PK_Accounts,AccountID,1,YES
dbo,AdminTrash,PK_AdminTrash,TrashID,1,YES
dbo,AuditLog,PK_AuditLog,AuditLogID,1,YES
dbo,BangLuong,PK_BangLuong,BangLuongID,1,YES
dbo,BookingExtension,PK_BookingExtension,ExtensionID,1,YES
dbo,CaLamViec,PK_CaLamViec,CaLamViecID,1,YES
dbo,CaLamViec_Audit,PK_CaLamViec_Audit,AuditID,1,YES
dbo,CaLamViec_Availability,PK_CaLamViec_Availability,AvailabilityID,1,YES
dbo,CaLamViec_SwapRequest,PK_CaLamViec_SwapRequest,SwapRequestID,1,YES
dbo,CauHinhLuong,PK_CauHinhLuong,CauHinhLuongID,1,YES
dbo,ChiaHoaDon,PK_ChiaHoaDon,ChiaHoaDonID,1,YES
dbo,ChiTietGhepKeo,PK_ChiTietGhepKeo,ChiTietKeoID,1,YES
dbo,ChiTietHoaDon,PK_ChiTietHoaDon,ChiTietID,1,YES
dbo,CoSo,PK_CoSo,CoSoID,1,YES
dbo,CoSoCapability,PK_CoSoCapability,CapabilityID,1,YES
dbo,CoSoFaceConfig,PK_CoSoFaceConfig,CoSoID,1,YES
dbo,CoSoNganHang,PK_CoSoNganHang,CoSoID,1,YES
dbo,CourtChargeSegment,PK_CourtChargeSegment,SegmentID,1,YES
dbo,CustomerReputationHistory,PK_CustomerReputationHistory,ReputationHistoryID,1,YES
dbo,DanhGia,PK_DanhGia,DanhGiaID,1,YES
dbo,DanhMucSanPham,PK_DanhMucSanPham,DanhMucID,1,YES
dbo,FaceChallengeToken,PK_FaceChallengeToken,TokenID,1,YES
dbo,GhepKeo,PK_GhepKeo,KeoID,1,YES
dbo,HoaDon,PK_HoaDon,HoaDonID,1,YES
dbo,HoanTien,PK_HoanTien,HoanTienID,1,YES
dbo,KhuyenMai,PK_KhuyenMai,KhuyenMaiID,1,YES
dbo,KhuyenMaiHinhAnh,PK_KhuyenMaiHinhAnh,HinhAnhID,1,YES
dbo,KyLuong,PK_KyLuong,KyLuongID,1,YES
dbo,LichDatSan,PK_LichDatSan,DatSanID,1,YES
dbo,LichDatSan_DichVu,PK_LichDatSan_DichVu,Id,1,YES
dbo,LichSuELO,PK_LichSuELO,LichSuELOID,1,YES
dbo,LichSuKhuyenMai,PK_LichSuKhuyenMai,HistoryID,1,YES
dbo,LichXeRaVao,PK_LichXeRaVao,LichXeID,1,YES
dbo,LoaiSan,PK_LoaiSan,LoaiSanID,1,YES
dbo,MaQR,PK_MaQR,MaQRID,1,YES
dbo,MonTheThao,PK_MonTheThao,MonTheThaoID,1,YES
dbo,MonTheThaoYeuThich,PK_MonTheThaoYeuThich,AccountID,1,YES
dbo,MonTheThaoYeuThich,PK_MonTheThaoYeuThich,MonTheThaoID,2,YES
dbo,NhatKyChat,PK_NhatKyChat,NhatKyChatID,1,YES
dbo,NhatKySOSGui,PK_NhatKySOSGui,NhatKySOSGuiID,1,YES
dbo,NhomChiaTien,PK_NhomChiaTien,NhomChiaTienID,1,YES
dbo,NhomChiaTienChiTiet,PK_NhomChiaTienChiTiet,ChiTietID,1,YES
dbo,PayOSPaymentAttempt,PK_PayOSPaymentAttempt,AttemptID,1,YES
dbo,QRRequest,PK_QRRequest,RequestID,1,YES
dbo,RacketStringingConfig,PK_RacketStringingConfig,ConfigID,1,YES
dbo,RacketStringingOrderDetail,PK_RacketStringingOrderDetail,DetailID,1,YES
dbo,Roles,PK_Roles,RoleID,1,YES
dbo,San,PK_San,SanID,1,YES
dbo,SanPham_DichVu,PK_SanPham_DichVu,SanPhamID,1,YES
dbo,SanQR,PK_SanQR,SanQRID,1,YES
dbo,SanQRTokenHistory,PK_SanQRTokenHistory,HistoryID,1,YES
dbo,ServiceMaterial,PK_ServiceMaterial,MaterialID,1,YES
dbo,ServiceOrder,PK_ServiceOrder,OrderID,1,YES
dbo,ServiceOrderStatusHistory,PK_ServiceOrderStatusHistory,HistoryID,1,YES
dbo,SoftHold,PK_SoftHold,SoftHoldID,1,YES
dbo,SportService,PK_SportService,ServiceID,1,YES
dbo,SuCo,PK_SuCo,SuCoID,1,YES
dbo,sysdiagrams,PK_sysdiagrams,diagram_id,1,YES
dbo,TeamInvitations,PK_TeamInvitations,InvitationID,1,YES
dbo,TeamJoinRequests,PK_TeamJoinRequests,JoinRequestID,1,YES
dbo,TeamMembers,PK_TeamMembers,TeamMemberID,1,YES
dbo,Teams,PK_Teams,TeamID,1,YES
dbo,TheGiuXe,PK_TheGiuXe,TheID,1,YES
dbo,ThongBao,PK_ThongBao,ThongBaoID,1,YES
dbo,YeuCauNghi,PK_YeuCauNghi,YeuCauNghiID,1,YES
dbo,YeuCauNghi_Audit,PK_YeuCauNghi_Audit,AuditID,1,YES
dbo,YeuCauSOS,PK_YeuCauSOS,YeuCauSOSID,1,YES
dbo,YeuCauUngLuong,PK_YeuCauUngLuong,YeuCauUngLuongID,1,YES
