ConstraintName,ChildSchema,ChildTable,ChildColumn,ParentSchema,ParentTable,ParentColumn,ChildCardinality,ParentCardinality,RelationshipType,IsChildOptional,IsOneToOne,IsPhysicalFK,OnDelete,OnUpdate,SuggestedVietnameseLabel,SuggestedGroupID,CrossGroupRelation,SourceOfTruth,Notes
FK_Acc_CoSo,dbo,Accounts,CoSoID,dbo,CoSo,CoSoID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G01,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_Acc_Role,dbo,Accounts,RoleID,dbo,Roles,RoleID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,có vai trò,G01,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_Accounts_MonTheThaoYeuThich,dbo,Accounts,MonTheThaoYeuThichID,dbo,MonTheThao,MonTheThaoID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Môn thể thao,G01,YES,MIGRATION_SQL_NOT_IN_SNAPSHOT,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_BangLuong_AccountID,dbo,BangLuong,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G23,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_BangLuong_KyLuongID,dbo,BangLuong,KyLuongID,dbo,KyLuong,KyLuongID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc kỳ lương,G23,NO,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_BookingExtension_LichDatSan,dbo,BookingExtension,DatSanID,dbo,LichDatSan,DatSanID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G06,NO,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_BookingExtension_Operator,dbo,BookingExtension,OperatorAccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G06,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_Ca_Account,dbo,CaLamViec,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G17,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_Ca_CoSo,dbo,CaLamViec,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G17,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK__CaLamViec__Nguoi__5CA1C101,dbo,CaLamViec_Audit,NguoiThucHien,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,do người thực hiện,G17,YES,LIVE_DB_SNAPSHOT_2026-08-02,
