SchemaName,TableName,IndexName,IsUnique,IsPrimaryKey,IndexType,KeyColumns,IncludedColumns,FilterDefinition
dbo,Accounts,PK_Accounts,YES,YES,CLUSTERED,AccountID,,
dbo,Accounts,UQ_Accounts_Email,YES,NO,NONCLUSTERED,Email,,
dbo,Accounts,UQ_Accounts_Facebook,YES,NO,NONCLUSTERED,FacebookID,,
dbo,Accounts,UQ_Accounts_Google,YES,NO,NONCLUSTERED,GoogleID,,
dbo,Accounts,UQ_Accounts_Username,YES,NO,NONCLUSTERED,Username,,
dbo,AdminTrash,PK_AdminTrash,YES,YES,CLUSTERED,TrashID,,
dbo,AuditLog,IX_AuditLog_Actor,NO,NO,NONCLUSTERED,ActorAccountID,,
dbo,AuditLog,IX_AuditLog_CoSo,NO,NO,NONCLUSTERED,CoSoID,,
dbo,AuditLog,IX_AuditLog_CreatedAt,NO,NO,NONCLUSTERED,CreatedAt,,
dbo,AuditLog,IX_AuditLog_EntityType,NO,NO,NONCLUSTERED,EntityType,,
dbo,AuditLog,PK_AuditLog,YES,YES,CLUSTERED,AuditLogID,,
dbo,BangLuong,PK_BangLuong,YES,YES,CLUSTERED,BangLuongID,,
dbo,BookingExtension,PK_BookingExtension,YES,YES,CLUSTERED,ExtensionID,,
dbo,CaLamViec,PK_CaLamViec,YES,YES,CLUSTERED,CaLamViecID,,
dbo,CaLamViec_Audit,PK_CaLamViec_Audit,YES,YES,CLUSTERED,AuditID,,
dbo,CaLamViec_Availability,PK_CaLamViec_Availability,YES,YES,CLUSTERED,AvailabilityID,,
dbo,CaLamViec_SwapRequest,PK_CaLamViec_SwapRequest,YES,YES,CLUSTERED,SwapRequestID,,
dbo,CauHinhLuong,PK_CauHinhLuong,YES,YES,CLUSTERED,CauHinhLuongID,,
dbo,ChiaHoaDon,PK_ChiaHoaDon,YES,YES,CLUSTERED,ChiaHoaDonID,,
dbo,ChiTietGhepKeo,PK_ChiTietGhepKeo,YES,YES,CLUSTERED,ChiTietKeoID,,
dbo,ChiTietGhepKeo,UX_ChiTietGhepKeo_Active_Keo_Account,YES,NO,NONCLUSTERED,"KeoID, AccountIDNguoiThamGia",,"TrangThaiThamGia IN (N'Chờ duyệt', N'Đã tham gia')"
dbo,ChiTietHoaDon,PK_ChiTietHoaDon,YES,YES,CLUSTERED,ChiTietID,,
dbo,CoSo,PK_CoSo,YES,YES,CLUSTERED,CoSoID,,
dbo,CoSoCapability,IX_CoSoCapability_CoSoID,NO,NO,NONCLUSTERED,CoSoID,,
dbo,CoSoCapability,IX_CoSoCapability_TrangThai,NO,NO,NONCLUSTERED,TrangThai,,
dbo,CoSoCapability,PK_CoSoCapability,YES,YES,CLUSTERED,CapabilityID,,
dbo,CoSoCapability,UQ_CoSoCapability_CoSo_Type,YES,NO,NONCLUSTERED,"CoSoID, CapabilityType",,
dbo,CoSoFaceConfig,PK_CoSoFaceConfig,YES,YES,CLUSTERED,CoSoID,,
dbo,CoSoNganHang,PK_CoSoNganHang,YES,YES,CLUSTERED,CoSoID,,
dbo,CourtChargeSegment,PK_CourtChargeSegment,YES,YES,CLUSTERED,SegmentID,,
dbo,CourtChargeSegment,UX_CourtChargeSegment_InvoiceOrder,YES,NO,NONCLUSTERED,"HoaDonID, SegmentOrder",,
dbo,CustomerReputationHistory,IX_ReputationHistory_Account,NO,NO,NONCLUSTERED,"AccountID, CreatedAt",,
dbo,CustomerReputationHistory,IX_ReputationHistory_DatSan,NO,NO,NONCLUSTERED,DatSanID,,
dbo,CustomerReputationHistory,PK_CustomerReputationHistory,YES,YES,CLUSTERED,ReputationHistoryID,,
dbo,CustomerReputationHistory,UQ_ReputationHistory_Account_DatSan_Action,YES,NO,NONCLUSTERED,"AccountID, DatSanID, ActionType",,
dbo,DanhGia,PK_DanhGia,YES,YES,CLUSTERED,DanhGiaID,,
dbo,DanhGia,UQ_DanhGia_DatSan_Account,YES,NO,NONCLUSTERED,"DatSanID, AccountID_NguoiDanhGia",,
dbo,DanhMucSanPham,PK_DanhMucSanPham,YES,YES,CLUSTERED,DanhMucID,,
dbo,FaceChallengeToken,PK_FaceChallengeToken,YES,YES,CLUSTERED,TokenID,,
dbo,GhepKeo,IX_GhepKeo_TrangThai_DatSan,NO,NO,NONCLUSTERED,"TrangThai, DatSanID",,
dbo,GhepKeo,PK_GhepKeo,YES,YES,CLUSTERED,KeoID,,
dbo,HoaDon,IX_HoaDon_Parent_Loai,NO,NO,NONCLUSTERED,"ParentHoaDonID, LoaiHoaDon",,
dbo,HoaDon,PK_HoaDon,YES,YES,CLUSTERED,HoaDonID,,
dbo,HoaDon,UX_HoaDon_OneMainPerBooking,YES,NO,NONCLUSTERED,DatSanID,,
dbo,HoanTien,IX_HoanTien_CoSoID,NO,NO,NONCLUSTERED,CoSoID,,
dbo,HoanTien,IX_HoanTien_DatSanID,NO,NO,NONCLUSTERED,DatSanID,,
dbo,HoanTien,IX_HoanTien_TrangThai,NO,NO,NONCLUSTERED,TrangThai,,
dbo,HoanTien,PK_HoanTien,YES,YES,CLUSTERED,HoanTienID,,
dbo,KhuyenMai,PK_KhuyenMai,YES,YES,CLUSTERED,KhuyenMaiID,,
dbo,KhuyenMai,UQ__KhuyenMa__152C7C5C7613DE24,YES,NO,NONCLUSTERED,MaCode,,
dbo,KhuyenMaiHinhAnh,IX_KhuyenMaiHinhAnh_KhuyenMaiID,NO,NO,NONCLUSTERED,KhuyenMaiID,,
dbo,KhuyenMaiHinhAnh,IX_KhuyenMaiHinhAnh_KhuyenMaiID_ThuTu,NO,NO,NONCLUSTERED,"KhuyenMaiID, ThuTu",,
dbo,KhuyenMaiHinhAnh,PK_KhuyenMaiHinhAnh,YES,YES,CLUSTERED,HinhAnhID,,
dbo,KhuyenMaiHinhAnh,UQ_KhuyenMaiHinhAnh_MotAnhBia,YES,NO,NONCLUSTERED,KhuyenMaiID,,
dbo,KyLuong,IX_KyLuong_CoSo,NO,NO,NONCLUSTERED,"CoSoID, NgayBatDau DESC",,
dbo,KyLuong,PK_KyLuong,YES,YES,CLUSTERED,KyLuongID,,
dbo,LichDatSan,IX_LichDatSan_PayosOrderCode,NO,NO,NONCLUSTERED,PayosOrderCode,,
dbo,LichDatSan,PK_LichDatSan,YES,YES,CLUSTERED,DatSanID,,
dbo,LichDatSan_DichVu,IX_LDSDV_DatSanID,NO,NO,NONCLUSTERED,DatSanID,,
dbo,LichDatSan_DichVu,PK_LichDatSan_DichVu,YES,YES,CLUSTERED,Id,,
dbo,LichSuELO,PK_LichSuELO,YES,YES,CLUSTERED,LichSuELOID,,
dbo,LichSuKhuyenMai,IX_LichSuKM_Account_KM,NO,NO,NONCLUSTERED,"AccountID, KhuyenMaiID",,
dbo,LichSuKhuyenMai,PK_LichSuKhuyenMai,YES,YES,CLUSTERED,HistoryID,,
dbo,LichXeRaVao,PK_LichXeRaVao,YES,YES,CLUSTERED,LichXeID,,
dbo,LoaiSan,PK_LoaiSan,YES,YES,CLUSTERED,LoaiSanID,,
dbo,MaQR,PK_MaQR,YES,YES,CLUSTERED,MaQRID,,
dbo,MonTheThao,PK_MonTheThao,YES,YES,CLUSTERED,MonTheThaoID,,
dbo,MonTheThaoYeuThich,PK_MonTheThaoYeuThich,YES,YES,CLUSTERED,"AccountID, MonTheThaoID",,
dbo,NhatKyChat,PK_NhatKyChat,YES,YES,CLUSTERED,NhatKyChatID,,
dbo,NhatKySOSGui,PK_NhatKySOSGui,YES,YES,CLUSTERED,NhatKySOSGuiID,,
dbo,NhomChiaTien,IX_NhomChiaTien_DatSan,NO,NO,NONCLUSTERED,DatSanID,,
dbo,NhomChiaTien,PK_NhomChiaTien,YES,YES,CLUSTERED,NhomChiaTienID,,
dbo,NhomChiaTien,UX_NhomChiaTien_HoaDon_Active,YES,NO,NONCLUSTERED,HoaDonID,,
dbo,NhomChiaTienChiTiet,IX_NhomChiaTienChiTiet_Nhom,NO,NO,NONCLUSTERED,NhomChiaTienID,,
dbo,NhomChiaTienChiTiet,PK_NhomChiaTienChiTiet,YES,YES,CLUSTERED,ChiTietID,,
dbo,NhomChiaTienChiTiet,UX_NhomChiaTienChiTiet_ShareToken,YES,NO,NONCLUSTERED,ShareToken,,
dbo,PayOSPaymentAttempt,IX_PayOSPaymentAttempt_HoaDonID,NO,NO,NONCLUSTERED,HoaDonID,,
dbo,PayOSPaymentAttempt,IX_PayOSPaymentAttempt_PaymentLinkID,NO,NO,NONCLUSTERED,PaymentLinkID,,
dbo,PayOSPaymentAttempt,PK_PayOSPaymentAttempt,YES,YES,CLUSTERED,AttemptID,,
dbo,PayOSPaymentAttempt,UQ_PayOSPaymentAttempt_OneActivePerInvoice,YES,NO,NONCLUSTERED,HoaDonID,,
dbo,PayOSPaymentAttempt,UQ_PayOSPaymentAttempt_OrderCode,YES,NO,NONCLUSTERED,OrderCode,,
dbo,QRRequest,IX_QRRequest_CoSo_Status,NO,NO,NONCLUSTERED,"CoSoID, Status",,
dbo,QRRequest,IX_QRRequest_GuestToken,NO,NO,NONCLUSTERED,GuestToken,,
dbo,QRRequest,PK_QRRequest,YES,YES,CLUSTERED,RequestID,,
dbo,RacketStringingConfig,PK_RacketStringingConfig,YES,YES,CLUSTERED,ConfigID,,
dbo,RacketStringingConfig,UQ_RacketCfg_ServiceID,YES,NO,NONCLUSTERED,ServiceID,,
dbo,RacketStringingOrderDetail,PK_RacketStringingOrderDetail,YES,YES,CLUSTERED,DetailID,,
dbo,RacketStringingOrderDetail,UQ_RSOD_OrderID,YES,NO,NONCLUSTERED,OrderID,,
dbo,Roles,PK_Roles,YES,YES,CLUSTERED,RoleID,,
dbo,San,PK_San,YES,YES,CLUSTERED,SanID,,
dbo,SanPham_DichVu,PK_SanPham_DichVu,YES,YES,CLUSTERED,SanPhamID,,
dbo,SanQR,IX_SanQR_TrangThai,NO,NO,NONCLUSTERED,TrangThai,,
dbo,SanQR,PK_SanQR,YES,YES,CLUSTERED,SanQRID,,
dbo,SanQR,UQ_SanQR_SanID,YES,NO,NONCLUSTERED,SanID,,
dbo,SanQR,UQ_SanQR_ShortCode,YES,NO,NONCLUSTERED,ShortCode,,
dbo,SanQR,UQ_SanQR_Token,YES,NO,NONCLUSTERED,Token,,
dbo,SanQRTokenHistory,IX_SanQRTokenHistory_SanID,NO,NO,NONCLUSTERED,SanID,,
dbo,SanQRTokenHistory,IX_SanQRTokenHistory_SanQRID,NO,NO,NONCLUSTERED,SanQRID,,
dbo,SanQRTokenHistory,IX_SanQRTokenHistory_TokenHash,NO,NO,NONCLUSTERED,TokenHash,,
