SchemaName,TableName,ColumnName,ConstraintName,Definition
dbo,Accounts,FailedLoginCount,(tên constraint không có trong snapshot),((0))
dbo,Accounts,IsLocked,(tên constraint không có trong snapshot),((0))
dbo,Accounts,DiemUyTin,(tên constraint không có trong snapshot),((100))
dbo,Accounts,DiemTrinhDo,(tên constraint không có trong snapshot),((1000))
dbo,Accounts,NhanThongBaoSOS,(tên constraint không có trong snapshot),((1))
dbo,Accounts,CreatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,Accounts,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,Accounts,CompletedBookingCount,(tên constraint không có trong snapshot),((0))
dbo,Accounts,LateCancelCount,(tên constraint không có trong snapshot),((0))
dbo,Accounts,NoShowCount,(tên constraint không có trong snapshot),((0))
dbo,Accounts,NhanThongBaoMarketing,(tên constraint không có trong snapshot),((1))
dbo,AdminTrash,DeletedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,AdminTrash,IsRestored,(tên constraint không có trong snapshot),((0))
dbo,AuditLog,CreatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,BangLuong,LuongCoBan,DF_BangLuong_LuongCoBan,0
dbo,BangLuong,TongPhuCap,DF_BangLuong_TongPhuCap,0
dbo,BangLuong,TongKhauTru,DF_BangLuong_TongKhauTru,0
dbo,BangLuong,TongLuongThuc,DF_BangLuong_TongLuongThuc,0
dbo,BangLuong,SoCaLamViec,DF_BangLuong_SoCaLamViec,0
dbo,BangLuong,TrangThai,DF_BangLuong_TrangThai,'ChuaTinh'
dbo,BangLuong,CreatedAt,DF_BangLuong_CreatedAt,GETDATE()
dbo,BookingExtension,CreatedAt,DF_BookingExtension_CreatedAt,GETDATE()
dbo,CaLamViec,IsPublished,(tên constraint không có trong snapshot),((0))
dbo,CaLamViec,TrangThai,(tên constraint không có trong snapshot),('Draft')
dbo,CaLamViec,GioNghi,(tên constraint không có trong snapshot),((0))
dbo,CaLamViec,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,CaLamViec,IsCustomTime,(tên constraint không có trong snapshot),((0))
dbo,CaLamViec,FaceVerified,DF_CaLamViec_FaceVerified,0
dbo,CaLamViec,FaceLivenessPassed,DF_CaLamViec_FaceLivenessPassed,0
dbo,CaLamViec_Audit,ThoiGian,(tên constraint không có trong snapshot),(getdate())
dbo,CaLamViec_Availability,TrangThai,(tên constraint không có trong snapshot),('Ranh')
dbo,CaLamViec_Availability,CreatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,CaLamViec_Availability,DuyetTrangThai,(tên constraint không có trong snapshot),('DaDuyet')
dbo,CaLamViec_SwapRequest,TrangThai,(tên constraint không có trong snapshot),('ChoXacNhan')
dbo,CaLamViec_SwapRequest,NgayGui,(tên constraint không có trong snapshot),(getdate())
dbo,CauHinhLuong,LuongCoBan,DF_CauHinhLuong_LuongCoBan,0
dbo,CauHinhLuong,PhuCapMoiCa,DF_CauHinhLuong_PhuCapMoiCa,0
dbo,CauHinhLuong,HanMucUng,DF_CauHinhLuong_HanMucUng,0
dbo,CauHinhLuong,CreatedAt,DF_CauHinhLuong_CreatedAt,GETDATE()
dbo,CauHinhLuong,UpdatedAt,DF_CauHinhLuong_UpdatedAt,GETDATE()
dbo,ChiaHoaDon,DaTra,DF_ChiaHoaDon_DaTra,0
dbo,ChiTietGhepKeo,TrangThaiThamGia,(tên constraint không có trong snapshot),(N'Chờ duyệt')
dbo,CoSo,TrangThai,(tên constraint không có trong snapshot),(N'Hoạt động')
dbo,CoSo,SoLuongSanDuKien,(tên constraint không có trong snapshot),((0))
dbo,CoSo,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,CoSoCapability,TrangThai,(tên constraint không có trong snapshot),(N'PENDING')
dbo,CoSoCapability,RequestedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,CoSoCapability,UpdatedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,CoSoFaceConfig,FaceRequired,DF_CoSoFaceConfig_FaceRequired,0
dbo,CoSoFaceConfig,ConfidenceMin,DF_CoSoFaceConfig_ConfidenceMin,0.6
dbo,CoSoNganHang,UpdatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,CourtChargeSegment,CreatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,CustomerReputationHistory,CreatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,DanhGia,NgayDanhGia,(tên constraint không có trong snapshot),(getdate())
dbo,FaceChallengeToken,Action,DF_FaceChallengeToken_Action,'checkin'
dbo,FaceChallengeToken,CreatedAt,DF_FaceChallengeToken_CreatedAt,GETDATE()
dbo,GhepKeo,TrangThai,(tên constraint không có trong snapshot),(N'Đang tìm')
dbo,GhepKeo,CreatedAt,DF_GhepKeo_CreatedAt,SYSDATETIME()
dbo,HoaDon,NgayLap,(tên constraint không có trong snapshot),(getdate())
dbo,HoaDon,TongTienSan,(tên constraint không có trong snapshot),((0))
dbo,HoaDon,TongTienDichVu,(tên constraint không có trong snapshot),((0))
dbo,HoaDon,PhiGuiXe,(tên constraint không có trong snapshot),((0))
dbo,HoaDon,GiamGia,(tên constraint không có trong snapshot),((0))
dbo,HoaDon,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,HoaDon,LoaiHoaDon,(tên constraint không có trong snapshot),(N'MAIN')
dbo,HoanTien,TrangThai,(tên constraint không có trong snapshot),(N'Chờ xử lý')
dbo,HoanTien,ThoiGianYeuCau,(tên constraint không có trong snapshot),(getdate())
dbo,HoanTien,UpdatedAt,(tên constraint không có trong snapshot),(sysdatetime())
dbo,KhuyenMai,SoLanDaDung,(tên constraint không có trong snapshot),((0))
dbo,KhuyenMai,TrangThai,(tên constraint không có trong snapshot),(N'Hoạt động')
dbo,KhuyenMai,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,KhuyenMai,GiaTriToiThieu,(tên constraint không có trong snapshot),((0))
dbo,KhuyenMai,GiamToiDa,(tên constraint không có trong snapshot),((0))
dbo,KhuyenMai,HienThiCongKhai,(tên constraint không có trong snapshot),((1))
dbo,KhuyenMaiHinhAnh,ThuTu,(tên constraint không có trong snapshot),((0))
dbo,KhuyenMaiHinhAnh,LaAnhBia,(tên constraint không có trong snapshot),((0))
dbo,KhuyenMaiHinhAnh,CreatedAt,(tên constraint không có trong snapshot),(sysdatetime())
dbo,KyLuong,TrangThai,DF_KyLuong_TrangThai,'Draft'
dbo,KyLuong,CreatedAt,DF_KyLuong_CreatedAt,GETDATE()
dbo,LichDatSan,ApDungGiaCoDen,(tên constraint không có trong snapshot),((0))
dbo,LichDatSan,TrangThai,(tên constraint không có trong snapshot),(N'Chờ xác nhận')
dbo,LichDatSan,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,LichDatSan,CreatedTime,(tên constraint không có trong snapshot),(getdate())
dbo,LichDatSan,RequiresRefundReview,(tên constraint không có trong snapshot),((0))
dbo,LichDatSan_DichVu,Status,DF_LichDatSan_DichVu_Status,N
dbo,LichDatSan_DichVu,CreatedAt,DF_LichDatSan_DichVu_CreatedAt,SYSDATETIME()
dbo,LichSuELO,ThoiGian,(tên constraint không có trong snapshot),(getdate())
dbo,LichSuKhuyenMai,DiscountAmount,(tên constraint không có trong snapshot),((0))
dbo,LichSuKhuyenMai,UsedAt,(tên constraint không có trong snapshot),(getdate())
dbo,LichXeRaVao,GioVao,(tên constraint không có trong snapshot),(getdate())
dbo,LichXeRaVao,PhiGuiXe,(tên constraint không có trong snapshot),((0))
dbo,LoaiSan,GioBatDauLenDen,(tên constraint không có trong snapshot),('17:30:00')
dbo,LoaiSan,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,MaQR,NgayTao,DF_MaQR_NgayTao,GETDATE()
dbo,MaQR,DaQuet,DF_MaQR_DaQuet,0
dbo,MonTheThaoYeuThich,NgayThêm,(tên constraint không có trong snapshot),(getdate())
dbo,NhatKyChat,ThoiGian,(tên constraint không có trong snapshot),(getdate())
dbo,NhatKySOSGui,ThoiGianGui,(tên constraint không có trong snapshot),(getdate())
dbo,NhatKySOSGui,DaXem,(tên constraint không có trong snapshot),((0))
dbo,NhomChiaTien,TrangThai,(tên constraint không có trong snapshot),(N'DRAFT')
dbo,NhomChiaTien,CreatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,NhomChiaTien,UpdatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,NhomChiaTienChiTiet,TrangThai,(tên constraint không có trong snapshot),(N'PENDING')
dbo,NhomChiaTienChiTiet,CreatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,NhomChiaTienChiTiet,UpdatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,PayOSPaymentAttempt,CreatedAt,(tên constraint không có trong snapshot),(sysdatetime())
dbo,QRRequest,Status,(tên constraint không có trong snapshot),('NEW')
dbo,QRRequest,CreatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,QRRequest,UpdatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,RacketStringingConfig,StringingPrice,(tên constraint không có trong snapshot),((0))
dbo,RacketStringingConfig,TensionUnit,(tên constraint không có trong snapshot),(N'kg')
dbo,RacketStringingConfig,AllowCustomerString,(tên constraint không có trong snapshot),((1))
dbo,RacketStringingConfig,SellsString,(tên constraint không có trong snapshot),((1))
dbo,RacketStringingConfig,AvgCompletionMinutes,(tên constraint không có trong snapshot),((60))
dbo,RacketStringingConfig,MaxRacketsPerOrder,(tên constraint không có trong snapshot),((5))
dbo,RacketStringingOrderDetail,CustomerBringsString,(tên constraint không có trong snapshot),((0))
dbo,RacketStringingOrderDetail,TensionUnit,(tên constraint không có trong snapshot),(N'kg')
dbo,RacketStringingOrderDetail,Quantity,(tên constraint không có trong snapshot),((1))
dbo,San,TrangThai,(tên constraint không có trong snapshot),(N'Sẵn sàng')
dbo,San,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,SanPham_DichVu,SoLuongTon,(tên constraint không có trong snapshot),((0))
dbo,SanPham_DichVu,TrangThai,(tên constraint không có trong snapshot),(N'Đang kinh doanh')
dbo,SanPham_DichVu,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,SanQR,Token,(tên constraint không có trong snapshot),(newid())
dbo,SanQR,TrangThai,(tên constraint không có trong snapshot),(N'ACTIVE')
dbo,SanQR,CreatedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,SanQR,UpdatedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,SanQR,RegenerateCount,(tên constraint không có trong snapshot),((0))
dbo,SanQRTokenHistory,TrangThai,(tên constraint không có trong snapshot),(N'ISSUED')
dbo,SanQRTokenHistory,IssuedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,ServiceMaterial,Price,(tên constraint không có trong snapshot),((0))
dbo,ServiceMaterial,ExtraFee,(tên constraint không có trong snapshot),((0))
dbo,ServiceMaterial,Status,(tên constraint không có trong snapshot),(N'DANG_CO')
dbo,ServiceMaterial,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,ServiceMaterial,CreatedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,ServiceMaterial,UpdatedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,ServiceOrder,Status,(tên constraint không có trong snapshot),(N'PENDING_CONFIRMATION')
dbo,ServiceOrder,RequestedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,ServiceOrder,EstimatedPrice,(tên constraint không có trong snapshot),((0))
dbo,ServiceOrder,CreatedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,ServiceOrder,UpdatedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,ServiceOrderStatusHistory,ChangedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,SoftHold,CreatedTime,(tên constraint không có trong snapshot),(getdate())
dbo,SportService,BasePrice,(tên constraint không có trong snapshot),((0))
dbo,SportService,EstimatedMinutes,(tên constraint không có trong snapshot),((60))
dbo,SportService,IsAcceptingRequests,(tên constraint không có trong snapshot),((1))
dbo,SportService,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,SportService,CreatedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,SportService,UpdatedAt,(tên constraint không có trong snapshot),(sysutcdatetime())
dbo,SuCo,MucDo,DF_SuCo_MucDo,'THAP'
dbo,SuCo,TrangThai,DF_SuCo_TrangThai,'CHO_XU_LY'
dbo,SuCo,ThoiGianTao,DF_SuCo_ThoiGianTao,CURRENT_TIMESTAMP
dbo,TeamInvitations,ProposedRole,DF_TeamInvitations_ProposedRole,('MEMBER')
dbo,TeamInvitations,Status,DF_TeamInvitations_Status,('PENDING')
dbo,TeamInvitations,CreatedAt,DF_TeamInvitations_CreatedAt,(SYSUTCDATETIME()
dbo,TeamJoinRequests,Status,DF_TeamJoinRequests_Status,('PENDING')
dbo,TeamJoinRequests,CreatedAt,DF_TeamJoinRequests_CreatedAt,(SYSUTCDATETIME()
dbo,TeamMembers,MemberStatus,DF_TeamMembers_MemberStatus,('ACTIVE')
dbo,TeamMembers,JoinedAt,DF_TeamMembers_JoinedAt,(SYSUTCDATETIME()
dbo,Teams,Status,DF_Teams_Status,('ACTIVE')
dbo,Teams,CreatedAt,DF_Teams_CreatedAt,(SYSUTCDATETIME()
dbo,Teams,IsDeleted,DF_Teams_IsDeleted,(0)
dbo,TheGiuXe,TrangThai,(tên constraint không có trong snapshot),(N'Trống')
dbo,TheGiuXe,GiaVeTheoLuot,(tên constraint không có trong snapshot),((0))
dbo,ThongBao,DaDoc,(tên constraint không có trong snapshot),((0))
dbo,ThongBao,ThoiGianGui,(tên constraint không có trong snapshot),(getdate())
dbo,ThongBao,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,YeuCauNghi,MucDoKhanCap,(tên constraint không có trong snapshot),((0))
dbo,YeuCauNghi,TrangThai,(tên constraint không có trong snapshot),('ChoDuyet')
dbo,YeuCauNghi,NgayGui,(tên constraint không có trong snapshot),(getdate())
dbo,YeuCauNghi,CreatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,YeuCauNghi,UpdatedAt,(tên constraint không có trong snapshot),(getdate())
dbo,YeuCauNghi,IsDeleted,(tên constraint không có trong snapshot),((0))
dbo,YeuCauNghi_Audit,ThoiGian,(tên constraint không có trong snapshot),(getdate())
dbo,YeuCauSOS,TrangThai,(tên constraint không có trong snapshot),(N'Đang tuyển')
dbo,YeuCauSOS,ThoiGianTao,(tên constraint không có trong snapshot),(getdate())
dbo,YeuCauUngLuong,TrangThai,DF_YeuCauUngLuong_TrangThai,'ChoDuyet'
dbo,YeuCauUngLuong,CreatedAt,DF_YeuCauUngLuong_CreatedAt,GETDATE()
