TableName,ModelOrEntityClass,DAOOrRepositoryClass,ServiceClass,MainServletOrController,MainJspOrFrontend,RelatedMigrationFiles,CurrentUsageStatus,Notes
Accounts,src/main/java/org/example/model/TaiKhoan.java,src/main/java/org/example/dao/TaiKhoanDAO.java; src/main/java/org/example/dao/impl/TaiKhoanDAOImpl.java,src/main/java/org/example/service/AuditLogService.java; src/main/java/org/example/service/NotificationPreferenceService.java; src/main/java/org/example/service/NotificationService.java,src/main/java/org/example/controller/BillSplitParticipantServlet.java; src/main/java/org/example/controller/DangKyServlet.java; src/main/java/org/example/controller/DangNhapServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/create_audit_log.sql; sql/diagnose_and_repair_ghost_booking.sql; sql/fix_view_yeuCauNghi.sql; sql/migration_avatar_url.sql; sql/migration_booking_extension.sql,Đang dùng,Tên model khác tên bảng: TaiKhoan
AdminTrash,src/main/java/org/example/model/AdminTrash.java,src/main/java/org/example/dao/AdminTrashDAO.java; src/main/java/org/example/dao/impl/AdminTrashDAOImpl.java,src/main/java/org/example/service/admin/FacilityTrashService.java,src/main/java/org/example/controller/admin/AdminTrashServlet.java,,sql/migration_admin_trash.sql,Đang dùng,
AuditLog,src/main/java/org/example/model/AuditLog.java,src/main/java/org/example/dao/AuditLogDAO.java; src/main/java/org/example/dao/impl/AuditLogDAOImpl.java,src/main/java/org/example/service/AuditLogService.java; src/main/java/org/example/service/PayOSConfigurationService.java; src/main/java/org/example/service/manager/SanQRService.java,src/main/java/org/example/controller/admin/AuditLogAdminServlet.java; src/main/java/org/example/controller/manager/AuditLogManagerServlet.java,,sql/create_audit_log.sql; sql/diagnose_and_repair_ghost_booking.sql; sql/migration_facility_capability.sql; sql/migration_sport_service_module.sql,Đang dùng,
BangLuong,src/main/java/org/example/model/BangLuong.java,src/main/java/org/example/dao/BangLuongDAO.java; src/main/java/org/example/dao/impl/BangLuongDAOImpl.java,src/main/java/org/example/service/manager/LuongService.java,,,sql/migration_salary.sql,Đang phát triển / chưa xác minh trên DB thật,
BookingExtension,,,src/main/java/org/example/service/checkin/BookingExtensionService.java,,,sql/migration_booking_extension.sql,Đang phát triển / chưa xác minh trên DB thật,
CaLamViec,src/main/java/org/example/model/CaLamViec.java,src/main/java/org/example/dao/CaLamViecDAO.java; src/main/java/org/example/dao/CaLamViecSwapRequestDAO.java; src/main/java/org/example/dao/CaLamViecAvailabilityDAO.java; src/main/java/org/example/dao/CaLamViecAuditDAO.java,src/main/java/org/example/service/AuditLogService.java; src/main/java/org/example/service/manager/CaLamService.java; src/main/java/org/example/service/manager/NhanSuService.java,src/main/java/org/example/controller/admin/QuanLyNguoiDungServlet.java; src/main/java/org/example/controller/face/FaceChallengeServlet.java; src/main/java/org/example/controller/face/FaceCheckInServlet.java,,Tài nguyên/QuanLiSport_V4.sql; sql/create_audit_log.sql; sql/fix_view_yeuCauNghi.sql; sql/migration_guard_module.sql; sql/migration_soft_delete.sql; src/main/resources/migration_face_attendance.sql,Đang dùng,
CaLamViec_Audit,src/main/java/org/example/model/CaLamViecAudit.java,src/main/java/org/example/dao/CaLamViecAuditDAO.java; src/main/java/org/example/dao/impl/CaLamViecAuditDAOImpl.java,src/main/java/org/example/service/manager/CaLamService.java,src/main/java/org/example/controller/manager/QuanLyCaLamManagerServlet.java,,,Đang dùng,Tên model khác tên bảng: CaLamViecAudit
CaLamViec_Availability,src/main/java/org/example/model/CaLamViecAvailability.java,src/main/java/org/example/dao/CaLamViecAvailabilityDAO.java; src/main/java/org/example/dao/impl/CaLamViecAvailabilityDAOImpl.java,src/main/java/org/example/service/manager/CaLamService.java,src/main/java/org/example/controller/manager/QuanLyCaLamManagerServlet.java; src/main/java/org/example/controller/staff/StaffCaLamServlet.java,,,Đang dùng,Tên model khác tên bảng: CaLamViecAvailability
CaLamViec_SwapRequest,src/main/java/org/example/model/CaLamViecSwapRequest.java,src/main/java/org/example/dao/CaLamViecSwapRequestDAO.java; src/main/java/org/example/dao/impl/CaLamViecSwapRequestDAOImpl.java,src/main/java/org/example/service/manager/CaLamService.java,src/main/java/org/example/controller/manager/QuanLyCaLamManagerServlet.java; src/main/java/org/example/controller/staff/StaffCaLamServlet.java,,,Đang dùng,Tên model khác tên bảng: CaLamViecSwapRequest
CauHinhLuong,src/main/java/org/example/model/CauHinhLuong.java,src/main/java/org/example/dao/CauHinhLuongDAO.java; src/main/java/org/example/dao/impl/CauHinhLuongDAOImpl.java,src/main/java/org/example/service/manager/LuongService.java; src/main/java/org/example/service/manager/UngLuongService.java; src/main/java/org/example/service/manager/UngLuongValidator.java,src/main/java/org/example/controller/manager/LuongManagerServlet.java,,sql/migration_salary.sql,Đang phát triển / chưa xác minh trên DB thật,
