GroupID,GroupOrder,GroupTitle,GroupSubtitle,GroupBusinessDescription,TableName,TableDisplayName,TableOrder,IsCentralTable,PreferredPosition,ShowFullColumns,AllowRepeatAsReference,OriginalGroupID,Notes
G01,1,Tài khoản & Phân quyền,"Người dùng, vai trò, sở thích","Bao gồm các bảng: Accounts, Roles, MonTheThaoYeuThich và MonTheThao. Nhóm này quản lý tài khoản của mọi vai trò trong hệ thống, phân quyền theo vai trò và môn thể thao yêu thích của khách hàng.",Accounts,Tài khoản,1,YES,CENTER,YES,NO,,
G01,1,Tài khoản & Phân quyền,"Người dùng, vai trò, sở thích","Bao gồm các bảng: Accounts, Roles, MonTheThaoYeuThich và MonTheThao. Nhóm này quản lý tài khoản của mọi vai trò trong hệ thống, phân quyền theo vai trò và môn thể thao yêu thích của khách hàng.",MonTheThaoYeuThich,Môn thể thao yêu thích,2,NO,LEFT,YES,NO,,
G01,1,Tài khoản & Phân quyền,"Người dùng, vai trò, sở thích","Bao gồm các bảng: Accounts, Roles, MonTheThaoYeuThich và MonTheThao. Nhóm này quản lý tài khoản của mọi vai trò trong hệ thống, phân quyền theo vai trò và môn thể thao yêu thích của khách hàng.",Roles,Vai trò,3,NO,RIGHT,YES,NO,,
G02,2,Nhật ký hệ thống & Thùng rác,"Audit log, soft delete","Bao gồm các bảng: AuditLog, AdminTrash và Accounts. Nhóm này lưu nhật ký mọi thao tác quan trọng và danh sách bản ghi đã xóa mềm để quản trị viên có thể tra cứu, khôi phục hoặc xóa vĩnh viễn.",AuditLog,Nhật ký kiểm toán,4,YES,CENTER,YES,NO,,
G02,2,Nhật ký hệ thống & Thùng rác,"Audit log, soft delete","Bao gồm các bảng: AuditLog, AdminTrash và Accounts. Nhóm này lưu nhật ký mọi thao tác quan trọng và danh sách bản ghi đã xóa mềm để quản trị viên có thể tra cứu, khôi phục hoặc xóa vĩnh viễn.",AdminTrash,Thùng rác quản trị,5,NO,LEFT,YES,NO,,
G02,2,Nhật ký hệ thống & Thùng rác,"Audit log, soft delete","Bao gồm các bảng: AuditLog, AdminTrash và Accounts. Nhóm này lưu nhật ký mọi thao tác quan trọng và danh sách bản ghi đã xóa mềm để quản trị viên có thể tra cứu, khôi phục hoặc xóa vĩnh viễn.",Accounts,Tài khoản,6,NO,RIGHT,NO,YES,G01,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G01 (Tài khoản & Phân quyền)
G03,3,Môn thể thao,Danh mục nền tảng,"Bao gồm các bảng: MonTheThao, MonTheThaoYeuThich và LoaiSan. Nhóm này là danh mục nền tảng phân loại môn thể thao, được loại sân, ghép kèo và hồ sơ khách hàng cùng tham chiếu.",MonTheThao,Môn thể thao,7,YES,CENTER,YES,NO,,
G03,3,Môn thể thao,Danh mục nền tảng,"Bao gồm các bảng: MonTheThao, MonTheThaoYeuThich và LoaiSan. Nhóm này là danh mục nền tảng phân loại môn thể thao, được loại sân, ghép kèo và hồ sơ khách hàng cùng tham chiếu.",LoaiSan,Loại sân,8,NO,LEFT,NO,YES,G05,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G05 (Sân & Loại sân)
G04,4,Cơ sở thể thao,Chi nhánh và cấu hình,"Bao gồm các bảng: CoSo, CoSoCapability, CoSoNganHang và Accounts. Nhóm này quản lý từng cơ sở/chi nhánh, người quản lý phụ trách, các năng lực dịch vụ được duyệt và tài khoản ngân hàng nhận tiền.",CoSo,Cơ sở thể thao,9,YES,CENTER,YES,NO,,
G04,4,Cơ sở thể thao,Chi nhánh và cấu hình,"Bao gồm các bảng: CoSo, CoSoCapability, CoSoNganHang và Accounts. Nhóm này quản lý từng cơ sở/chi nhánh, người quản lý phụ trách, các năng lực dịch vụ được duyệt và tài khoản ngân hàng nhận tiền.",CoSoCapability,Năng lực cơ sở,10,NO,LEFT,YES,NO,,
