GroupID,EdgeOrder,FromTable,FromColumn,ToTable,ToColumn,ConstraintName,FromCardinality,ToCardinality,RelationshipType,IsPhysicalFK,IsOptional,LineLabel,PreferredLineDirection,CrossGroupRelation,Notes
G01,1,Accounts,CoSoID,CoSo,CoSoID,FK_Acc_CoSo,0..N,0..1,ONE_TO_MANY,TRUE,YES,Cơ sở thể thao 1–N Tài khoản,RIGHT_TO_LEFT,YES,
G01,2,Accounts,RoleID,Roles,RoleID,FK_Acc_Role,0..N,0..1,ONE_TO_MANY,TRUE,YES,Vai trò 1–N Tài khoản,AUTO,NO,
G01,3,Accounts,MonTheThaoYeuThichID,MonTheThao,MonTheThaoID,FK_Accounts_MonTheThaoYeuThich,0..N,0..1,ONE_TO_MANY,TRUE,YES,Môn thể thao 1–N Tài khoản,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G01,4,MonTheThaoYeuThich,AccountID,Accounts,AccountID,FK_MTTYT_Account,1..N,1,ONE_TO_MANY,TRUE,NO,Tài khoản 1–N Môn thể thao yêu thích,AUTO,NO,
G01,5,MonTheThaoYeuThich,MonTheThaoID,MonTheThao,MonTheThaoID,FK_MTTYT_Mon,1..N,1,ONE_TO_MANY,TRUE,NO,Môn thể thao 1–N Môn thể thao yêu thích,RIGHT_TO_LEFT,YES,
G04,1,CoSo,AccountID_QuanLy,Accounts,AccountID,FK_CoSo_QuanLy,0..N,0..1,ONE_TO_MANY,TRUE,YES,Tài khoản 1–N Cơ sở thể thao,RIGHT_TO_LEFT,YES,
G04,2,CoSoCapability,ApprovedBy,Accounts,AccountID,FK_CoSoCapability_ApprovedBy,0..N,0..1,ONE_TO_MANY,TRUE,YES,Tài khoản 1–N Năng lực cơ sở,RIGHT_TO_LEFT,YES,
G04,3,CoSoCapability,CoSoID,CoSo,CoSoID,FK_CoSoCapability_CoSo,1..N,1,ONE_TO_MANY,TRUE,NO,Cơ sở thể thao 1–N Năng lực cơ sở,AUTO,NO,
G04,4,CoSoNganHang,CoSoID,CoSo,CoSoID,FK_CoSoNganHang_CoSo,1,1,ONE_TO_ONE,TRUE,NO,Cơ sở thể thao 1–1 Tài khoản ngân hàng cơ sở,AUTO,NO,
G05,1,LoaiSan,CoSoID,CoSo,CoSoID,FK_LoaiSan_CoSo,0..N,0..1,ONE_TO_MANY,TRUE,YES,Cơ sở thể thao 1–N Loại sân,RIGHT_TO_LEFT,YES,
G05,2,LoaiSan,MonTheThaoID,MonTheThao,MonTheThaoID,FK_LoaiSan_Mon,1..N,1,ONE_TO_MANY,TRUE,NO,Môn thể thao 1–N Loại sân,RIGHT_TO_LEFT,YES,
G05,3,San,CoSoID,CoSo,CoSoID,FK_San_CoSo,1..N,1,ONE_TO_MANY,TRUE,NO,Cơ sở thể thao 1–N Sân,RIGHT_TO_LEFT,YES,
G05,4,San,LoaiSanID,LoaiSan,LoaiSanID,FK_San_LoaiSan,0..N,0..1,ONE_TO_MANY,TRUE,YES,Loại sân 1–N Sân,AUTO,NO,
G06,1,BookingExtension,DatSanID,LichDatSan,DatSanID,FK_BookingExtension_LichDatSan,1..N,1,ONE_TO_MANY,TRUE,NO,Lịch đặt sân 1–N Gia hạn đặt sân,AUTO,NO,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G06,2,BookingExtension,OperatorAccountID,Accounts,AccountID,FK_BookingExtension_Operator,1..N,1,ONE_TO_MANY,TRUE,NO,Tài khoản 1–N Gia hạn đặt sân,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G06,3,LichDatSan,AccountID,Accounts,AccountID,FK_DatSan_Account,0..N,0..1,ONE_TO_MANY,TRUE,YES,Tài khoản 1–N Lịch đặt sân,RIGHT_TO_LEFT,YES,
G06,4,LichDatSan,SanID,San,SanID,FK_DatSan_San,0..N,0..1,ONE_TO_MANY,TRUE,YES,Sân 1–N Lịch đặt sân,RIGHT_TO_LEFT,YES,
G06,5,LichDatSan,CancelledBy,Accounts,AccountID,FK_LichDatSan_CancelledBy,0..N,0..1,ONE_TO_MANY,TRUE,YES,Tài khoản 1–N Lịch đặt sân,RIGHT_TO_LEFT,YES,
G06,6,LichDatSan,ConfirmedBy,Accounts,AccountID,FK_LichDatSan_ConfirmedBy,0..N,0..1,ONE_TO_MANY,TRUE,YES,Tài khoản 1–N Lịch đặt sân,RIGHT_TO_LEFT,YES,
G06,7,LichDatSan_DichVu,DatSanID,LichDatSan,DatSanID,FK_LDSDV_DatSan,1..N,1,ONE_TO_MANY,TRUE,NO,Lịch đặt sân 1–N Dịch vụ đặt trước,AUTO,NO,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
