SchemaName,TableName,ColumnName,OrdinalPosition,DataType,MaxLength,Precision,Scale,IsNullable,DefaultValue,IsIdentity,IsComputed,FKReferences,Notes
dbo,Roles,RoleID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,Roles,RoleName,2,NVARCHAR,50,,,NO,,,NO,,
dbo,CoSo,CoSoID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,CoSo,TenCoSo,2,NVARCHAR,255,,,YES,,,NO,,
dbo,CoSo,DiaChi,3,NVARCHAR,500,,,YES,,,NO,,
dbo,CoSo,SoDienThoai,4,NVARCHAR,20,,,YES,,,NO,,
dbo,CoSo,TrangThai,5,NVARCHAR,50,,,YES,,,NO,,
dbo,CoSo,GioMoCua,6,TIME,,,,,YES,,,NO,,
dbo,CoSo,GioDongCua,7,TIME,,,,,YES,,,NO,,
dbo,CoSo,HinhAnh,8,NVARCHAR,500,,,YES,,,NO,,
dbo,CoSo,MoTa,9,NVARCHAR,MAX,,,YES,,,NO,,
dbo,CoSo,LoaiHinhKinhDoanh,10,NVARCHAR,100,,,YES,,,NO,,
dbo,CoSo,SoLuongSanDuKien,11,INT,,10,0,YES,,,NO,,
dbo,CoSo,AccountID_QuanLy,12,INT,,10,0,YES,,,NO,dbo.Accounts(AccountID),FK added after Accounts created
dbo,CoSo,PayOS_ClientID,13,NVARCHAR,500,,,YES,,,NO,,migration_payos_config - SENSITIVE credential column
dbo,CoSo,PayOS_ApiKey,14,NVARCHAR,500,,,YES,,,NO,,migration_payos_config - SENSITIVE credential column
dbo,CoSo,PayOS_ChecksumKey,15,NVARCHAR,500,,,YES,,,NO,,migration_payos_config - SENSITIVE credential column
dbo,CoSo,ViDo,16,DECIMAL,,12,9,YES,,,NO,,migration_facility_geolocation
dbo,CoSo,KinhDo,17,DECIMAL,,12,9,YES,,,NO,,migration_facility_geolocation
dbo,CoSo,IsDeleted,18,BIT,,,,,YES,0,,NO,,migration_soft_delete
dbo,CoSo,DeletedAt,19,DATETIME,,,,,YES,,,NO,,migration_soft_delete
dbo,CoSo,DeletedBy,20,INT,,10,0,YES,,,NO,,migration_soft_delete
dbo,Accounts,AccountID,1,INT,,10,0,NO,,YES,NO,,PK
dbo,Accounts,Username,2,VARCHAR,50,,,YES,,,NO,,UNIQUE NULL
dbo,Accounts,Password,3,VARCHAR,MAX,,,NO,,,NO,,BCrypt hashed
dbo,Accounts,FailedLoginCount,4,TINYINT,,3,0,YES,,,NO,,
dbo,Accounts,IsLocked,5,BIT,,,,,YES,,,NO,,
dbo,Accounts,LastLogin,6,DATETIME,,,,,YES,,,NO,,
dbo,Accounts,GoogleID,7,VARCHAR,100,,,YES,,,NO,,UNIQUE NULL
dbo,Accounts,FacebookID,8,VARCHAR,100,,,YES,,,NO,,UNIQUE NULL
dbo,Accounts,FullName,9,NVARCHAR,255,,,YES,,,NO,,
dbo,Accounts,PhoneNumber,10,NVARCHAR,20,,,YES,,,NO,,
dbo,Accounts,Email,11,VARCHAR,100,,,YES,,,NO,,UNIQUE NULL
dbo,Accounts,RoleID,12,INT,,10,0,YES,,,NO,dbo.Roles(RoleID),FK
dbo,Accounts,CoSoID,13,INT,,10,0,YES,,,NO,dbo.CoSo(CoSoID),FK NULL
dbo,Accounts,ZaloID,14,NVARCHAR,100,,,YES,,,NO,,
dbo,Accounts,MessengerID,15,NVARCHAR,100,,,YES,,,NO,,
dbo,Accounts,DiemUyTin,16,INT,,10,0,YES,100,,NO,,DEFAULT 100
dbo,Accounts,DiemTrinhDo,17,INT,,10,0,YES,1000,,NO,,DEFAULT 1000 (ELO score)
dbo,Accounts,MaNganHang,18,NVARCHAR,50,,,YES,,,NO,,
dbo,Accounts,SoTaiKhoan,19,NVARCHAR,50,,,YES,,,NO,,
dbo,Accounts,ViTriSoTruong,20,NVARCHAR,100,,,YES,,,NO,,
dbo,Accounts,NhanThongBaoSOS,21,BIT,,,,,YES,1,,NO,,DEFAULT 1
dbo,Accounts,NgaySinh,22,DATE,,,,,YES,,,NO,,
dbo,Accounts,GioiTinh,23,NVARCHAR,10,,,YES,,,NO,,
dbo,Accounts,CreatedAt,24,DATETIME,,,,,YES,,,NO,,
dbo,Accounts,AvatarUrl,25,NVARCHAR,500,,,YES,,,NO,,migration_avatar_url
dbo,Accounts,DeletedAt,26,DATETIME,,,,,YES,,,NO,,migration_soft_delete
dbo,Accounts,DeletedBy,27,INT,,10,0,YES,,,NO,,migration_soft_delete
dbo,Accounts,LateCancelCount,28,INT,,10,0,YES,0,,NO,,migration_customer_reputation_cancel_flow
dbo,Accounts,NoShowCount,29,INT,,10,0,YES,0,,NO,,migration_customer_reputation_cancel_flow
