SchemaName,FKName,FKTable,FKColumn,RefTable,RefColumn,OnDelete,OnUpdate,Notes
dbo,FK_Accounts_Roles,Accounts,RoleID,Roles,RoleID,NO ACTION,NO ACTION,
dbo,FK_Accounts_CoSo,Accounts,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_Accounts_MonTheThao_Yeuthich,Accounts,MonTheThaoYeuThichID,MonTheThao,MonTheThaoID,NO ACTION,NO ACTION,migration_customer_profile
dbo,FK_CoSo_AccountQuanLy,CoSo,AccountID_QuanLy,Accounts,AccountID,NO ACTION,NO ACTION,Added after both tables exist
dbo,FK_MonTheThaoYeuThich_Account,MonTheThaoYeuThich,AccountID,Accounts,AccountID,CASCADE,NO ACTION,
dbo,FK_MonTheThaoYeuThich_MonTheThao,MonTheThaoYeuThich,MonTheThaoID,MonTheThao,MonTheThaoID,CASCADE,NO ACTION,
dbo,FK_LoaiSan_MonTheThao,LoaiSan,MonTheThaoID,MonTheThao,MonTheThaoID,NO ACTION,NO ACTION,
dbo,FK_San_LoaiSan,San,LoaiSanID,LoaiSan,LoaiSanID,NO ACTION,NO ACTION,
dbo,FK_San_CoSo,San,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,NOT NULL
dbo,FK_SanPham_DichVu_DanhMuc,SanPham_DichVu,DanhMucID,DanhMucSanPham,DanhMucID,NO ACTION,NO ACTION,
dbo,FK_SanPham_DichVu_CoSo,SanPham_DichVu,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,
dbo,FK_LichDatSan_Account,LichDatSan,AccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_LichDatSan_San,LichDatSan,SanID,San,SanID,NO ACTION,NO ACTION,
dbo,FK_LichDatSan_ConfirmedBy,LichDatSan,ConfirmedBy,Accounts,AccountID,NO ACTION,NO ACTION,migration_reservation_hold
dbo,FK_LichDatSan_CancelledBy,LichDatSan,CancelledBy,Accounts,AccountID,NO ACTION,NO ACTION,migration_customer_reputation_cancel_flow
dbo,FK_GhepKeo_LichDatSan,GhepKeo,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,
dbo,FK_GhepKeo_AccountNguoiTao,GhepKeo,AccountID_NguoiTao,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_GhepKeo_MonTheThao,GhepKeo,MonTheThaoID,MonTheThao,MonTheThaoID,NO ACTION,NO ACTION,
dbo,FK_GhepKeo_TeamNguoiTao,GhepKeo,TeamIDNguoiTao,Teams,TeamID,NO ACTION,NO ACTION,migration_team_management
dbo,FK_ChiTietGhepKeo_GhepKeo,ChiTietGhepKeo,KeoID,GhepKeo,KeoID,NO ACTION,NO ACTION,
dbo,FK_ChiTietGhepKeo_Account,ChiTietGhepKeo,AccountID_NguoiThamGia,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_ChiTietGhepKeo_Team,ChiTietGhepKeo,TeamIDNguoiThamGia,Teams,TeamID,NO ACTION,NO ACTION,migration_team_management
dbo,FK_DanhGia_LichDatSan,DanhGia,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,
dbo,FK_DanhGia_AccountNguoiDanhGia,DanhGia,AccountID_NguoiDanhGia,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_DanhGia_AccountNguoiBiDanhGia,DanhGia,AccountID_NguoiBiDanhGia,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_LichSuELO_Account,LichSuELO,AccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_LichSuELO_LichDatSan,LichSuELO,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_NhatKyChat_Account,NhatKyChat,AccountID,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_TheGiuXe_CoSo,TheGiuXe,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,
dbo,FK_LichXeRaVao_TheGiuXe,LichXeRaVao,TheID,TheGiuXe,TheID,NO ACTION,NO ACTION,
dbo,FK_LichXeRaVao_LichDatSan,LichXeRaVao,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_LichXeRaVao_NhanVien,LichXeRaVao,AccountID_NhanVien,Accounts,AccountID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_KhuyenMai_CoSo,KhuyenMai,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,NULL = apply to all facilities
dbo,FK_HoaDon_LichDatSan,HoaDon,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_HoaDon_AccountKhachHang,HoaDon,AccountID_KhachHang,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_HoaDon_AccountNhanVien,HoaDon,AccountID_NhanVien,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_HoaDon_KhuyenMai,HoaDon,KhuyenMaiID,KhuyenMai,KhuyenMaiID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_HoaDon_Parent,HoaDon,ParentHoaDonID,HoaDon,HoaDonID,NO ACTION,NO ACTION,Self-reference; migration_hoadon_loai
dbo,FK_ChiTietHoaDon_HoaDon,ChiTietHoaDon,HoaDonID,HoaDon,HoaDonID,NO ACTION,NO ACTION,
dbo,FK_ChiTietHoaDon_SanPham,ChiTietHoaDon,SanPhamID,SanPham_DichVu,SanPhamID,NO ACTION,NO ACTION,
dbo,FK_ChiaHoaDon_HoaDon,ChiaHoaDon,HoaDonID,HoaDon,HoaDonID,NO ACTION,NO ACTION,Dead code table
dbo,FK_ChiaHoaDon_Account,ChiaHoaDon,AccountID,Accounts,AccountID,NO ACTION,NO ACTION,Dead code table
dbo,FK_MaQR_ChiaHoaDon,MaQR,ChiaHoaDonID,ChiaHoaDon,ChiaHoaDonID,NO ACTION,NO ACTION,Dead code table
dbo,FK_YeuCauSOS_AccountTao,YeuCauSOS,AccountID_Tao,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_YeuCauSOS_LichDatSan,YeuCauSOS,DatSanID,LichDatSan,DatSanID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_YeuCauSOS_MonTheThao,YeuCauSOS,MonTheThaoID,MonTheThao,MonTheThaoID,NO ACTION,NO ACTION,NULL allowed
dbo,FK_NhatKySOSGui_YeuCauSOS,NhatKySOSGui,YeuCauSOSID,YeuCauSOS,YeuCauSOSID,NO ACTION,NO ACTION,
dbo,FK_NhatKySOSGui_Account,NhatKySOSGui,AccountID_NhanGui,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_ThongBao_Account,ThongBao,AccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_CaLamViec_Account,CaLamViec,AccountID,Accounts,AccountID,NO ACTION,NO ACTION,
dbo,FK_CaLamViec_CoSo,CaLamViec,CoSoID,CoSo,CoSoID,NO ACTION,NO ACTION,
dbo,FK_HoanTien_HoaDon,HoanTien,HoaDonID,HoaDon,HoaDonID,NO ACTION,NO ACTION,
dbo,FK_HoanTien_Account,HoanTien,AccountID,Accounts,AccountID,NO ACTION,NO ACTION,
