SchemaName,TableName,ConstraintName,Columns,IsIndex,IsFiltered,FilterExpression,Notes
dbo,Accounts,UQ_Accounts_Username,Username,NO,NO,,UNIQUE NULL (multiple NULLs allowed)
dbo,Accounts,UQ_Accounts_GoogleID,GoogleID,NO,NO,,UNIQUE NULL
dbo,Accounts,UQ_Accounts_FacebookID,FacebookID,NO,NO,,UNIQUE NULL
dbo,Accounts,UQ_Accounts_Email,Email,NO,NO,,UNIQUE NULL
dbo,KhuyenMai,UQ_KhuyenMai_MaCode,MaCode,NO,NO,,
dbo,SanQR,UQ_SanQR_SanID,SanID,NO,NO,,Enforces 1-1 between San and SanQR
dbo,RacketStringingConfig,UQ_RacketStringingConfig_ServiceID,ServiceID,NO,NO,,Enforces 1-1 between SportService and RacketStringingConfig
dbo,RacketStringingOrderDetail,UQ_RacketStringingOrderDetail_OrderID,OrderID,NO,NO,,Enforces 1-1 between ServiceOrder and RacketStringingOrderDetail
dbo,PayOSPaymentAttempt,UQ_PayOSPaymentAttempt_OrderCode,OrderCode,NO,NO,,
dbo,CoSoCapability,UQ_CoSoCapability_CoSo_CapabilityType,"CoSoID, CapabilityType",NO,NO,,Prevents duplicate capability types per facility
dbo,NhomChiaTienChiTiet,UQ_NhomChiaTienChiTiet_ShareToken,ShareToken,NO,NO,,CHAR(43) unique token for payment link sharing
dbo,DanhGia,UQ_DanhGia_DatSan_Account,"DatSanID, AccountID_NguoiDanhGia",NO,NO,,migration_notification_marketing_refund_review - prevents duplicate reviews
dbo,ThongBao,UQ_ThongBao_Account_Loai_MaBanGhi,"AccountID, LoaiThongBao, MaBanGhi",NO,NO,,migration_thongbao_table / migration_notification_marketing_refund_review - prevents duplicate notifications
dbo,ChiTietGhepKeo,UX_ChiTietGhepKeo_Active_Keo_Account,"KeoID, AccountID_NguoiThamGia",YES,YES,"TrangThaiThamGia <> 'DaRoi'",Filtered unique index - migration_matchmaking_complete_flow; only one active participation per account per match
