SchemaName,TableName,IndexName,IndexType,IsUnique,IsFiltered,FilterExpression,Columns,IncludedColumns,Notes
dbo,Accounts,PK_Accounts,CLUSTERED,YES,NO,,AccountID,,Primary key clustered index
dbo,Accounts,UQ_Accounts_Username,NONCLUSTERED,YES,NO,,Username,,Unique constraint index; allows NULL
dbo,Accounts,UQ_Accounts_GoogleID,NONCLUSTERED,YES,NO,,GoogleID,,Unique constraint index; allows NULL
dbo,Accounts,UQ_Accounts_FacebookID,NONCLUSTERED,YES,NO,,FacebookID,,Unique constraint index; allows NULL
dbo,Accounts,UQ_Accounts_Email,NONCLUSTERED,YES,NO,,Email,,Unique constraint index; allows NULL
dbo,Roles,PK_Roles,CLUSTERED,YES,NO,,RoleID,,
dbo,CoSo,PK_CoSo,CLUSTERED,YES,NO,,CoSoID,,
dbo,MonTheThao,PK_MonTheThao,CLUSTERED,YES,NO,,MonTheThaoID,,
dbo,MonTheThaoYeuThich,PK_MonTheThaoYeuThich,CLUSTERED,YES,NO,,"AccountID, MonTheThaoID",,Composite PK clustered
dbo,LoaiSan,PK_LoaiSan,CLUSTERED,YES,NO,,LoaiSanID,,
dbo,San,PK_San,CLUSTERED,YES,NO,,SanID,,
dbo,DanhMucSanPham,PK_DanhMucSanPham,CLUSTERED,YES,NO,,DanhMucID,,
dbo,SanPham_DichVu,PK_SanPham_DichVu,CLUSTERED,YES,NO,,SanPhamID,,
dbo,LichDatSan,PK_LichDatSan,CLUSTERED,YES,NO,,DatSanID,,Central booking table
dbo,GhepKeo,PK_GhepKeo,CLUSTERED,YES,NO,,KeoID,,
dbo,ChiTietGhepKeo,PK_ChiTietGhepKeo,CLUSTERED,YES,NO,,ChiTietKeoID,,
dbo,ChiTietGhepKeo,UX_ChiTietGhepKeo_Active_Keo_Account,NONCLUSTERED,YES,YES,"TrangThaiThamGia <> 'DaRoi'","KeoID, AccountID_NguoiThamGia",,Filtered unique index - migration_matchmaking_complete_flow
dbo,DanhGia,PK_DanhGia,CLUSTERED,YES,NO,,DanhGiaID,,
dbo,DanhGia,UQ_DanhGia_DatSan_Account,NONCLUSTERED,YES,NO,,"DatSanID, AccountID_NguoiDanhGia",,Unique constraint from migration_notification_marketing_refund_review
dbo,LichSuELO,PK_LichSuELO,CLUSTERED,YES,NO,,LichSuELOID,,
dbo,NhatKyChat,PK_NhatKyChat,CLUSTERED,YES,NO,,NhatKyChatID,,
dbo,TheGiuXe,PK_TheGiuXe,CLUSTERED,YES,NO,,TheID,,
dbo,LichXeRaVao,PK_LichXeRaVao,CLUSTERED,YES,NO,,LichXeID,,
dbo,KhuyenMai,PK_KhuyenMai,CLUSTERED,YES,NO,,KhuyenMaiID,,
dbo,KhuyenMai,UQ_KhuyenMai_MaCode,NONCLUSTERED,YES,NO,,MaCode,,
dbo,HoaDon,PK_HoaDon,CLUSTERED,YES,NO,,HoaDonID,,
dbo,ChiTietHoaDon,PK_ChiTietHoaDon,CLUSTERED,YES,NO,,ChiTietID,,
dbo,ChiaHoaDon,PK_ChiaHoaDon,CLUSTERED,YES,NO,,ChiaHoaDonID,,Dead code table
dbo,MaQR,PK_MaQR,CLUSTERED,YES,NO,,MaQRID,,
dbo,YeuCauSOS,PK_YeuCauSOS,CLUSTERED,YES,NO,,YeuCauSOSID,,
dbo,NhatKySOSGui,PK_NhatKySOSGui,CLUSTERED,YES,NO,,NhatKySOSGuiID,,
dbo,ThongBao,PK_ThongBao,CLUSTERED,YES,NO,,ThongBaoID,,
dbo,ThongBao,UQ_ThongBao_Account_Loai_MaBanGhi,NONCLUSTERED,YES,NO,,"AccountID, LoaiThongBao, MaBanGhi",,From migration_notification_marketing_refund_review / migration_thongbao_table
dbo,CaLamViec,PK_CaLamViec,CLUSTERED,YES,NO,,CaLamViecID,,
dbo,HoanTien,PK_HoanTien,CLUSTERED,YES,NO,,HoanTienID,,
dbo,AuditLog,PK_AuditLog,CLUSTERED,YES,NO,,AuditLogID,,
dbo,LichDatSan_DichVu,PK_LichDatSan_DichVu,CLUSTERED,YES,NO,,Id,,
dbo,AdminTrash,PK_AdminTrash,CLUSTERED,YES,NO,,TrashID,,
dbo,CoSoNganHang,PK_CoSoNganHang,CLUSTERED,YES,NO,,CoSoID,,PK is also FK
dbo,BookingExtension,PK_BookingExtension,CLUSTERED,YES,NO,,ExtensionID,,
dbo,CourtChargeSegment,PK_CourtChargeSegment,CLUSTERED,YES,NO,,SegmentID,,
dbo,PayOSPaymentAttempt,PK_PayOSPaymentAttempt,CLUSTERED,YES,NO,,AttemptID,,
dbo,PayOSPaymentAttempt,UQ_PayOSPaymentAttempt_OrderCode,NONCLUSTERED,YES,NO,,OrderCode,,
dbo,CustomerReputationHistory,PK_CustomerReputationHistory,CLUSTERED,YES,NO,,ReputationHistoryID,,
dbo,CoSoCapability,PK_CoSoCapability,CLUSTERED,YES,NO,,CapabilityID,,
