DBTable,JavaModel,DAOInterface,DAOImpl,ServiceClass,ServletController,Notes
Accounts,model/TaiKhoan.java,dao/TaiKhoanDAO.java,,"service/BookingLifecycleService.java, service/reputation/CustomerReputationService.java","controller/DangNhapServlet.java, controller/DangKyServlet.java, controller/UpdateProfileServlet.java, controller/admin/QuanLyNguoiDungServlet.java, controller/customer/CustomerAccountServlet.java, controller/customer/CustomerProfileServlet.java",TaiKhoan.java is the Java model for Accounts table (name mismatch from V4 rename)
Roles,model/VaiTro.java,dao/VaiTroDAO.java,dao/impl/VaiTroDAOImpl.java,,controller/admin/QuanLyNguoiDungServlet.java,
CoSo,model/CoSo.java,dao/CoSoDAO.java,,"service/FacilityAccessService.java, service/admin/FacilityTrashService.java, service/admin/OwnerApprovalService.java","controller/admin/QuanLyChiNhanhServlet.java, controller/admin/AdminOwnerServlet.java, controller/OwnerRegisterServlet.java",
CoSoNganHang,model/CoSoNganHang.java,dao/CoSoNganHangDAO.java,dao/impl/CoSoNganHangDAOImpl.java,service/checkout/BankTransferInit.java,,
CoSoCapability,model/CoSoCapability.java,dao/CoSoCapabilityDAO.java,,service/admin/CapabilityApprovalService.java,controller/admin/PayOSConfigAdminServlet.java,
MonTheThao,model/MonTheThao.java,,,,,No dedicated DAO — loaded via joins in other DAOs
MonTheThaoYeuThich,model/MonTheThaoYeuThich.java,,,,,No dedicated DAO — managed via CustomerProfileDAO
LoaiSan,model/LoaiSan.java,dao/LoaiSanDAO.java,dao/impl/LoaiSanDAOImpl.java,,controller/manager/QuanLySanManagerServlet.java,
San,model/San.java,dao/SanDAO.java,dao/impl/SanDAOImpl.java,service/manager/SanService.java,"controller/manager/QuanLySanManagerServlet.java, controller/customer/VisualBookingServlet.java, controller/customer/DatSanServlet.java",
SanQR,model/SanQR.java,dao/SanQRDAO.java,,service/manager/SanQRService.java,"controller/manager/SanQRManagerServlet.java, controller/manager/SanQRImageServlet.java, controller/manager/SanQRPrintServlet.java, controller/customer/SanQRResolveServlet.java",
SanQRTokenHistory,model/SanQRTokenHistory.java,dao/SanQRDAO.java,,,controller/manager/SanQRManagerServlet.java,Managed via SanQRDAO
QRRequest,model/QRRequest.java,dao/QRRequestDAO.java,,service/QRRequestService.java,"controller/customer/api/QRRequestApiServlet.java, controller/customer/api/QRRequestStatusApiServlet.java, controller/staff/YeuCauQRServlet.java, controller/staff/api/YeuCauQRApiServlet.java, controller/staff/api/YeuCauQRActionApiServlet.java, controller/staff/api/YeuCauQRCountApiServlet.java",
DanhMucSanPham,model/DanhMucSanPham.java,dao/DanhMucSanPhamDAO.java,,,,
SanPham_DichVu,model/SanPham_DichVu.java,dao/SanPhamDichVuDAO.java,dao/impl/SanPhamDichVuDAOImpl.java,service/customer/PublicProductSearchService.java,"controller/customer/api/SanPhamApiServlet.java, controller/customer/api/SanPhamQRApiServlet.java, controller/customer/api/FacilityShopApiServlet.java",
LichDatSan,model/Lichdatsan.java,dao/LichDatSanDAO.java,,"service/BookingLifecycleService.java, service/booking/BookingCancellationService.java, service/checkin/BookingExtensionService.java, service/pricing/CourtPricingService.java","controller/QuanLyDatSanServlet.java, controller/customer/DatSanServlet.java, controller/customer/VisualBookingServlet.java, controller/staff/CheckInServlet.java",Central booking table — many services depend on it
LichDatSan_DichVu,model/LichDatSanDichVu.java,dao/LichDatSanDichVuDAO.java,,service/invoice/InvoiceViewService.java,"controller/staff/BookingServiceStaffServlet.java, controller/customer/BookingServicesServlet.java",Pre-ordered products/services for a booking slot
BookingExtension,,,,,service/checkin/BookingExtensionService.java (no model),No dedicated model class found — managed as plain JDBC in BookingExtensionService
CourtChargeSegment,,,,,service/pricing/CourtPricingService.java (no model),No dedicated model class found — managed as plain JDBC in pricing service
SoftHold,model/SoftHold.java,dao/SoftHoldDAO.java,,,controller/customer/GiuChoTamServlet.java,DDL inferred from Java model
GhepKeo,model/GhepKeo.java,dao/GhepKeoDAO.java,,service/matchmaking/GhepKeoService.java,"controller/customer/GhepKeoServlet.java, controller/customer/TeamMatchServlet.java",
ChiTietGhepKeo,model/ChiTietGhepKeo.java,dao/GhepKeoDAO.java,,service/matchmaking/GhepKeoService.java,controller/customer/GhepKeoServlet.java,Managed via GhepKeoDAO
Teams,model/Team.java,dao/TeamDAO.java,,service/team/TeamService.java,"controller/customer/DoiNhomServlet.java, controller/customer/TeamMatchServlet.java",
TeamMembers,model/TeamMember.java,dao/TeamDAO.java,,service/team/TeamService.java,controller/customer/DoiNhomServlet.java,Managed via TeamDAO
TeamInvitations,model/TeamInvitation.java,dao/TeamDAO.java,,service/team/TeamInvitationService.java,controller/customer/DoiNhomServlet.java,
TeamJoinRequests,model/TeamJoinRequest.java,dao/TeamDAO.java,,service/team/TeamService.java,controller/customer/DoiNhomServlet.java,
DanhGia,model/DanhGia.java,dao/DanhGiaDAO.java,,service/DanhGiaService.java,"controller/customer/CustomerDanhGiaServlet.java, controller/manager/DanhGiaManagerServlet.java",
LichSuELO,model/LichSuElo.java,,,,,"No dedicated DAO — written via BookingLifecycleService"
NhatKyChat,model/NhatKyChat.java,,,,,No dedicated DAO found — chatbot integration
TheGiuXe,model/TheGiuXe.java,,,,,"No dedicated DAO found; parking managed via booking flow"
LichXeRaVao,model/LichXeRaVao.java,,,,,"No dedicated DAO found"
KhuyenMai,model/KhuyenMai.java,dao/KhuyenMaiDAO.java,,service/KhuyenMaiService.java,"controller/customer/ApDungKhuyenMaiServlet.java, controller/customer/UuDaiServlet.java, controller/manager/KhuyenMaiManagerServlet.java",
KhuyenMaiHinhAnh,model/KhuyenMaiHinhAnh.java,dao/KhuyenMaiHinhAnhDAO.java,,service/manager/PromotionImageService.java,"controller/manager/KhuyenMaiHinhAnhManagerServlet.java, controller/PromotionImageServeServlet.java",
LichSuKhuyenMai,,,,,service/KhuyenMaiService.java,No dedicated model/DAO — usage history written inline; FK anomaly (TaiKhoan ref)
HoaDon,model/HoaDon.java,dao/HoaDonDAO.java,dao/impl/HoaDonDAOImpl.java,service/invoice/InvoiceViewService.java,"controller/staff/HoaDonDetailServlet.java, controller/staff/HoaDonPrintServlet.java, controller/manager/HoaDonManagerServlet.java, controller/customer/GioHangServlet.java",
ChiTietHoaDon,model/ChiTietHoaDon.java,dao/HoaDonDAO.java,,service/invoice/InvoiceViewService.java,controller/staff/HoaDonDetailServlet.java,Managed via HoaDonDAO
CourtChargeSegment,,,,,service/invoice/InvoiceCourtSegmentView.java (no model),Billing segments managed inline
ChiaHoaDon,model/ChiaHoaDon.java,,,,controller/BillSplitParticipantServlet.java,DEPRECATED — no longer receives new data
MaQR,model/MaQR.java,,,,,DEPRECATED with ChiaHoaDon
NhomChiaTien,model/NhomChiaTien.java,dao/NhomChiaTienDAO.java,,service/billsplit/BillSplitService.java,"controller/staff/BillSplitStaffServlet.java, controller/staff/SplitBillServlet.java, controller/customer/BillSplitCustomerServlet.java, controller/BillSplitQrServlet.java",Replaces ChiaHoaDon
NhomChiaTienChiTiet,model/NhomChiaTienChiTiet.java,dao/NhomChiaTienChiTietDAO.java,,service/billsplit/BillSplitService.java,"controller/staff/BillSplitStaffServlet.java, controller/customer/BillSplitCustomerServlet.java",
YeuCauSOS,model/YeuCauSOS.java,,,,,No dedicated DAO/Service found in scan
NhatKySOSGui,model/NhatKySOSGui.java,,,,,No dedicated DAO found
ThongBao,model/ThongBao.java,dao/ThongBaoDAO.java,,service/NotificationService.java,"controller/customer/CustomerThongBaoServlet.java, controller/customer/CustomerNotificationSettingsServlet.java",
CaLamViec,model/CaLamViec.java,dao/CaLamViecDAO.java,dao/impl/CaLamViecDAOImpl.java,service/manager/CaLamService.java,"controller/manager/QuanLyCaLamManagerServlet.java, controller/staff/StaffCaLamServlet.java",
CaLamViecAudit,model/CaLamViecAudit.java,dao/CaLamViecAuditDAO.java,dao/impl/CaLamViecAuditDAOImpl.java,service/manager/CaLamService.java,controller/manager/QuanLyCaLamManagerServlet.java,DDL inferred from Java model
CaLamViecAvailability,model/CaLamViecAvailability.java,dao/CaLamViecAvailabilityDAO.java,dao/impl/CaLamViecAvailabilityDAOImpl.java,service/manager/CaLamService.java,controller/manager/QuanLyCaLamManagerServlet.java,DDL inferred from Java model
CaLamViecSwapRequest,model/CaLamViecSwapRequest.java,dao/CaLamViecSwapRequestDAO.java,dao/impl/CaLamViecSwapRequestDAOImpl.java,service/manager/CaLamService.java,controller/manager/QuanLyCaLamManagerServlet.java,DDL inferred from Java model
YeuCauNghi,model/YeuCauNghi.java,dao/YeuCauNghiDAO.java,dao/impl/YeuCauNghiDAOImpl.java,service/YeuCauNghiService.java,"controller/staff/YeuCauNghiStaffServlet.java, controller/manager/YeuCauNghiManagerServlet.java",DDL inferred from view SQL + Java model
HoanTien,model/Hoantien.java,dao/HoanTienDAO.java,,service/refund/RefundService.java,"controller/customer/RefundServlet.java, controller/customer/RefundCustomerServlet.java, controller/customer/RefundCancelServlet.java, controller/staff/StaffRefundServlet.java, controller/manager/HoanTienManagerServlet.java, controller/manager/ManagerRefundManagementServlet.java, controller/RefundQrServeServlet.java",Model class name mismatch: Hoantien.java maps to HoanTien table
AuditLog,model/AuditLog.java,dao/AuditLogDAO.java,dao/impl/AuditLogDAOImpl.java,service/AuditLogService.java,"controller/admin/AuditLogAdminServlet.java, controller/manager/AuditLogManagerServlet.java",
AdminTrash,model/AdminTrash.java,dao/AdminTrashDAO.java,dao/impl/AdminTrashDAOImpl.java,service/admin/FacilityTrashService.java,"controller/admin/AdminTrashServlet.java, controller/manager/ThungRacManagerServlet.java",
PayOSPaymentAttempt,,dao/PayOSPaymentAttemptDAO.java,dao/impl/PayOSPaymentAttemptDAOImpl.java,"service/payos/PayOSPaymentService.java, service/payos/PayOSPaymentFinalizationService.java","controller/PayOSWebhookServlet.java, controller/customer/CustomerPayosQrServlet.java",No dedicated model class — managed via DAO + DTOs in dto/payment/
CustomerReputationHistory,model/CustomerReputationHistory.java,dao/CustomerReputationHistoryDAO.java,,service/reputation/CustomerReputationService.java,"controller/customer/LichSuDiemUyTinServlet.java, controller/manager/ManagerReputationAdjustmentServlet.java",
SportService,model/SportService.java,,,service/manager/SportServiceManagerService.java,"controller/manager/DichVuManagerServlet.java, controller/customer/DichVuServlet.java, controller/customer/api/DichVuApiServlet.java",
RacketStringingConfig,model/RacketStringingConfig.java,,,service/manager/SportServiceManagerService.java,controller/manager/DichVuManagerServlet.java,
ServiceMaterial,model/ServiceMaterial.java,,,service/manager/SportServiceManagerService.java,controller/manager/KhoDichVuManagerServlet.java,
ServiceOrder,model/ServiceOrder.java,,,service/customer/ServiceOrderService.java,"controller/customer/DichVuCuaToiServlet.java, controller/customer/api/DichVuCuaToiApiServlet.java, controller/customer/api/DichVuCuaToiCancelApiServlet.java, controller/customer/api/DichVuDatApiServlet.java, controller/manager/YeuCauDichVuServlet.java, controller/manager/api/YeuCauDichVuApiServlet.java, controller/manager/api/YeuCauDichVuActionApiServlet.java",
RacketStringingOrderDetail,model/RacketStringingOrderDetail.java,,,service/customer/ServiceOrderService.java,controller/customer/api/DichVuDatApiServlet.java,
ServiceOrderStatusHistory,model/ServiceOrderStatusHistory.java,,,service/manager/ServiceOrderManagerService.java,controller/manager/api/YeuCauDichVuActionApiServlet.java,DDL inferred from Java model; no CREATE TABLE found
